Consumer_ID,City,State,Smoker,Drink_Level,Transportation_Method,Marital_Status,Age,Occupation,Budget
U1103,Ciudad Victoria,Tamaulipas,No,Abstemious,Public,Single,23,Employed,Medium
U1104,San Luis Potosi,San Luis Potosi,Yes,Social Drinker,Car,Single,21,Student,Medium
U1105,San Luis Potosi,San Luis Potosi,No,Social Drinker,Public,Single,21,Student,Medium
U1106,Cuernavaca,Morelos,No,Casual Drinker,Car,Single,82,Employed,Medium
U1107,Ciudad Victoria,Tamaulipas,No,Abstemious,Car,Single,23,Student,High
U1108,San Luis Potosi,San Luis Potosi,No,Abstemious,Public,Single,29,Student,Medium
U1109,San Luis Potosi,San Luis Potosi,No,Abstemious,Public,Single,23,Student,Low
U1110,Cuernavaca,Morelos,No,Abstemious,Car,Single,19,Student,Medium
U1111,San Luis Potosi,San Luis Potosi,Yes,Casual Drinker,Car,Single,21,Student,Medium
U1112,San Luis Potosi,San Luis Potosi,Yes,Casual Drinker,Car,Single,21,Student,Medium
U1113,San Luis Potosi,San Luis Potosi,No,Casual Drinker,Public,Single,22,Student,Medium
U1114,San Luis Potosi,San Luis Potosi,No,Abstemious,On Foot,Single,21,Student,Medium
U1115,San Luis Potosi,San Luis Potosi,Yes,Social Drinker,Public,Single,22,Student,Low
U1116,San Luis Potosi,San Luis Potosi,No,Social Drinker,Public,Married,25,Student,Medium
U1117,Cuernavaca,Morelos,No,Abstemious,Public,Single,30,Employed,Medium
U1118,Cuernavaca,Morelos,Yes,Casual Drinker,Public,Single,25,Student,Medium
U1119,Cuernavaca,Morelos,No,Abstemious,Public,Single,20,Student,Medium
U1120,San Luis Potosi,San Luis Potosi,No,Abstemious,Public,Single,82,Student,Low
U1121,Cuernavaca,Morelos,No,Social Drinker,Public,Married,25,Employed,Medium
U1123,Ciudad Victoria,Tamaulipas,No,Abstemious,Public,Single,25,Student,Medium
U1124,San Luis Potosi,San Luis Potosi,No,Casual Drinker,Public,Single,21,Student,Low
U1125,San Luis Potosi,San Luis Potosi,No,Casual Drinker,Public,Single,22,Student,Low
U1126,San Luis Potosi,San Luis Potosi,No,Casual Drinker,On Foot,Single,22,Student,Low
U1127,Cuernavaca,Morelos,No,Abstemious,Public,Single,20,Student,Low
U1128,San Luis Potosi,San Luis Potosi,No,Casual Drinker,Public,Single,26,Student,Low
U1129,Ciudad Victoria,Tamaulipas,No,Casual Drinker,Public,Single,23,Student,Low
U1131,San Luis Potosi,San Luis Potosi,Yes,Social Drinker,Car,Married,22,Student,Medium
U1132,San Luis Potosi,San Luis Potosi,No,Casual Drinker,Public,Single,21,Student,Medium
U1133,Jiutepec,Morelos,No,Abstemious,Car,Single,21,Student,Medium
U1134,San Luis Potosi,San Luis Potosi,No,Casual Drinker,Public,Single,21,Student,Medium
U1135,San Luis Potosi,San Luis Potosi,No,Casual Drinker,On Foot,Single,24,Student,Low
U1136,San Luis Potosi,San Luis Potosi,Yes,Social Drinker,Car,Single,22,Student,Low
U1137,San Luis Potosi,San Luis Potosi,No,Social Drinker,Public,Single,23,Student,Low
U1138,San Luis Potosi,San Luis Potosi,No,Social Drinker,Public,Single,21,Student,Medium
